(highest, src_addr, src_port, dst_addr, dst_port): count
(TCP, 192.168.2.3, 43549, 216.58.219.193, 443): 5
(TCP, 216.58.219.234, 443, 192.168.2.3, 34473): 5
(TCP, 216.58.219.206, 443, 192.168.2.3, 51218): 41
(SSL, 192.168.2.3, 51281, 216.58.219.206, 443): 56
(DNS, 192.168.2.1, 53, 192.168.2.3, 35764): 1
(TCP, 172.217.3.1, 443, 192.168.2.3, 51492): 4
(HTTP, 192.168.2.3, 55242, 172.217.5.2, 80): 1
(TCP, 63.117.14.14, 443, 192.168.2.3, 45862): 4
(TCP, 192.168.2.3, 43908, 74.125.200.120, 443): 6
(TCP, 192.168.2.3, 48374, 54.192.54.206, 80): 3
(TCP, 192.168.2.3, 57832, 138.108.6.20, 80): 5
(TCP, 192.168.2.3, 47224, 52.84.121.108, 443): 11
(SSL, 54.244.225.107, 443, 192.168.2.3, 35829): 9
(SSL, 192.168.2.3, 41111, 52.84.121.108, 443): 2
(TCP, 192.168.2.3, 33986, 216.58.219.238, 443): 23
(DNS, 192.168.2.3, 65247, 192.168.2.1, 53): 1
(DNS, 192.168.2.3, 58457, 192.168.2.1, 53): 1
(DNS, 192.168.2.3, 9271, 192.168.2.1, 53): 1
(SSL, 192.168.2.3, 53671, 212.58.244.115, 443): 3
(SSL, 192.168.2.3, 35860, 104.100.160.187, 443): 3
(DNS, 192.168.2.3, 2463, 192.168.2.1, 53): 1
(HTTP, 192.168.2.3, 44537, 173.192.220.64, 80): 2
(SSL, 172.217.3.10, 443, 192.168.2.3, 54623): 23
(DNS, 192.168.2.3, 44726, 192.168.2.1, 53): 1
(TCP, 216.58.219.206, 443, 192.168.2.3, 35340): 6
(TCP, 192.168.2.3, 59364, 70.34.16.45, 443): 10
(SSL, 192.168.2.3, 50480, 31.13.71.36, 443): 5
(TCP, 192.168.2.3, 50481, 31.13.71.36, 443): 8
(TCP, 192.168.2.3, 49755, 54.243.111.133, 80): 4
(DNS, 192.168.2.3, 24565, 192.168.2.1, 53): 1
(TCP, 192.168.2.3, 41068, 207.171.162.130, 443): 7
(TCP, 192.168.2.3, 51830, 72.21.214.13, 443): 11
(SSL, 192.168.2.3, 53899, 207.171.162.130, 443): 4
(SSL, 192.168.2.3, 40164, 199.27.76.98, 443): 3
(DNS, 192.168.2.1, 53, 192.168.2.3, 54564): 1
(TCP, 192.168.2.3, 47373, 172.229.233.57, 80): 4
(TCP, 92.242.140.21, 80, 192.168.2.3, 41040): 5
(DNS, 192.168.2.1, 53, 192.168.2.3, 15337): 1
(TCP, 192.168.2.3, 50275, 216.58.219.206, 443): 9
(TCP, 199.27.76.68, 80, 192.168.2.3, 55605): 53
(DNS, 192.168.2.3, 1299, 192.168.2.1, 53): 1
(TCP, 192.168.2.3, 42693, 172.217.5.14, 443): 1
(SSL, 54.236.84.167, 443, 192.168.2.3, 54235): 6
(SSL, 192.168.2.3, 45862, 63.117.14.14, 443): 2
(SSL, 216.58.219.238, 443, 192.168.2.3, 43475): 73
(TCP, 192.168.2.3, 35858, 104.100.160.187, 443): 4
(DNS, 192.168.2.3, 4634, 192.168.2.1, 53): 1
(TCP, 52.84.121.108, 443, 192.168.2.3, 41112): 4
(TCP, 207.171.162.163, 443, 192.168.2.3, 50714): 7
(SSL, 216.58.219.206, 443, 192.168.2.3, 47620): 69
(TCP, 192.168.2.3, 56564, 104.16.107.236, 80): 4
(DNS, 192.168.2.3, 46850, 192.168.2.1, 53): 1
(DNS, 192.168.2.3, 16393, 192.168.2.1, 53): 1
(DNS, 192.168.2.1, 53, 192.168.2.3, 61092): 1
(DATA-TEXT-LINES, 172.217.4.46, 80, 192.168.2.3, 49231): 1
(HTTP, 92.242.140.21, 80, 192.168.2.3, 41040): 1
(DNS, 192.168.2.1, 53, 192.168.2.3, 56750): 1
(SSL, 192.168.2.3, 60569, 172.217.4.33, 443): 4
(DNS, 192.168.2.3, 14996, 192.168.2.1, 53): 1
(DNS, 192.168.2.1, 53, 192.168.2.3, 27502): 1
(TCP, 192.168.2.3, 50576, 199.166.0.200, 80): 6
(HTTP, 192.168.2.3, 48256, 104.20.40.8, 80): 1
(TCP, 184.26.44.104, 80, 192.168.2.3, 50173): 5
(TCP, 216.58.219.193, 443, 192.168.2.3, 48023): 5
(TCP, 192.168.2.3, 36969, 23.15.8.18, 80): 38
(SSL, 52.84.121.108, 443, 192.168.2.3, 41106): 7
(DNS, 192.168.2.3, 32527, 192.168.2.1, 53): 1
(DNS, 192.168.2.1, 53, 192.168.2.3, 43261): 1
(TCP, 192.168.2.3, 40179, 216.58.219.238, 443): 16
(SSL, 192.168.2.3, 44704, 216.58.219.206, 443): 4
(TCP, 192.168.2.3, 39298, 216.58.219.238, 443): 9
(TCP, 216.58.219.193, 443, 192.168.2.3, 47224): 4
(DNS, 192.168.2.3, 59354, 192.168.2.1, 53): 1
(TCP, 192.168.2.3, 59276, 199.27.76.73, 80): 97
(DNS, 192.168.2.1, 53, 192.168.2.3, 62259): 1
(DNS, 192.168.2.3, 1604, 192.168.2.1, 53): 1
(SSL, 192.168.2.3, 59285, 216.58.219.206, 443): 4
(TCP, 216.58.219.206, 443, 192.168.2.3, 37359): 9
(TCP, 192.168.2.3, 35461, 74.201.198.71, 80): 3
(TCP, 69.172.216.58, 443, 192.168.2.3, 57861): 2
(SSL, 207.171.162.130, 443, 192.168.2.3, 44875): 4
(DNS, 192.168.2.3, 63602, 192.168.2.1, 53): 1
(SSL, 172.217.4.33, 443, 192.168.2.3, 46615): 4
(TCP, 216.58.219.225, 443, 192.168.2.3, 51601): 4
(SSL, 52.84.121.108, 443, 192.168.2.3, 56262): 7
(SSL, 172.217.3.14, 443, 192.168.2.3, 34881): 10
(SSL, 52.86.247.32, 443, 192.168.2.3, 44273): 5
(HTTP, 192.168.2.3, 56135, 172.229.214.12, 80): 3
(MEDIA, 216.58.219.225, 80, 192.168.2.3, 35955): 1
(DNS, 192.168.2.3, 22036, 192.168.2.1, 53): 1
(SSL, 216.58.219.225, 443, 192.168.2.3, 53121): 16
(DNS, 192.168.2.3, 39514, 192.168.2.1, 53): 1
(DNS, 192.168.2.1, 53, 192.168.2.3, 9271): 1
(DNS, 192.168.2.1, 53, 192.168.2.3, 13946): 1
(TCP, 192.168.2.3, 41286, 54.239.26.167, 80): 5
(SSL, 192.168.2.3, 55124, 216.58.219.238, 443): 12
(SSL, 216.58.219.206, 443, 192.168.2.3, 56600): 9
(DNS, 192.168.2.3, 3462, 192.168.2.1, 53): 1
(PNG, 23.15.8.64, 80, 192.168.2.3, 39036): 1
(HTTP, 192.168.2.3, 39073, 63.88.100.163, 80): 1
(DNS, 192.168.2.1, 53, 192.168.2.3, 58915): 1
(DNS, 192.168.2.3, 42300, 192.168.2.1, 53): 1
(SSL, 172.217.5.14, 443, 192.168.2.3, 52122): 5
(DNS, 192.168.2.1, 53, 192.168.2.3, 26660): 1
(DNS, 192.168.2.1, 53, 192.168.2.3, 52540): 1
(TCP, 208.117.236.114, 443, 192.168.2.3, 42218): 5
(DATA-TEXT-LINES, 64.202.112.13, 80, 192.168.2.3, 33658): 1
(TCP, 192.168.2.3, 57135, 54.239.22.175, 80): 4
(SSL, 192.168.2.3, 37873, 216.58.219.193, 443): 3
(DNS, 192.168.2.1, 53, 192.168.2.3, 60520): 1
(DNS, 192.168.2.1, 53, 192.168.2.3, 65247): 1
(DNS, 192.168.2.3, 10372, 192.168.2.1, 53): 1
(SSL, 192.168.2.3, 57305, 207.171.162.130, 443): 4
(DNS, 192.168.2.1, 53, 192.168.2.3, 46566): 1
