Total packets,82439
,Protocol,Count
,ARP,50
,BOOTP,136
,DATA,60
,DATA-TEXT-LINES,86
,DNS,552
,EAPOL,12
,HTTP,362
,IGMP,9
,IMAGE-GIF,33
,IMAGE-JFIF,50
,JSON,15
,MDNS,34
,MEDIA,68
,MP4,2
,PNG,16
,SSL,17878
,TCP,63047
,URLENCODED-FORM,6
,XML,8
,_WS.MALFORMED,15

,Protocol,Percent
,ARP,0.060650905518
,BOOTP,0.164970463009
,DATA,0.0727810866216
,DATA-TEXT-LINES,0.104319557491
,DNS,0.669585996919
,EAPOL,0.0145562173243
,HTTP,0.43911255595
,IGMP,0.0109171629932
,IMAGE-GIF,0.0400295976419
,IMAGE-JFIF,0.060650905518
,JSON,0.0181952716554
,SSL,192.168.2.3,74.119.118.67,3
,SSL,192.168.2.3,74.125.162.152,3
,SSL,192.168.2.3,74.125.200.120,4
,SSL,199.16.156.232,192.168.2.3,15
,SSL,199.166.0.200,192.168.2.3,4
,SSL,199.27.76.98,192.168.2.3,6
,SSL,204.154.110.233,192.168.2.3,2
,SSL,204.154.110.245,192.168.2.3,3
,SSL,204.154.111.224,192.168.2.3,6
,SSL,205.251.242.2,192.168.2.3,5
,SSL,207.171.162.130,192.168.2.3,4
,SSL,207.171.162.163,192.168.2.3,5
,SSL,208.117.236.114,192.168.2.3,7
,SSL,208.80.154.240,192.168.2.3,2173
,SSL,212.58.244.115,192.168.2.3,11
,SSL,216.58.219.193,192.168.2.3,3649
,SSL,216.58.219.194,192.168.2.3,47
,SSL,216.58.219.195,192.168.2.3,8
,SSL,216.58.219.198,192.168.2.3,16
,SSL,216.58.219.206,192.168.2.3,12
,SSL,216.58.219.225,192.168.2.3,16
,SSL,216.58.219.230,192.168.2.3,22
,SSL,216.58.219.232,192.168.2.3,4
,SSL,216.58.219.234,192.168.2.3,9
,SSL,216.58.219.238,192.168.2.3,37
,SSL,23.203.54.220,192.168.2.3,9
,SSL,23.32.174.216,192.168.2.3,4
,SSL,23.37.13.125,192.168.2.3,6
,SSL,23.38.106.99,192.168.2.3,5
,SSL,23.56.91.247,192.168.2.3,5
,SSL,23.76.218.7,192.168.2.3,5
,SSL,31.13.71.36,192.168.2.3,9
,SSL,31.13.71.7,192.168.2.3,15
,SSL,50.19.118.19,192.168.2.3,5
,SSL,52.72.152.84,192.168.2.3,23
,SSL,52.84.121.108,192.168.2.3,12
,SSL,52.86.247.32,192.168.2.3,5
,SSL,54.236.84.167,192.168.2.3,6
,SSL,54.239.18.232,192.168.2.3,4
,SSL,54.239.21.217,192.168.2.3,8
,SSL,54.239.22.50,192.168.2.3,4
,SSL,54.239.23.82,192.168.2.3,5
,SSL,54.239.24.185,192.168.2.3,9
,SSL,54.239.24.226,192.168.2.3,7
,SSL,54.239.25.192,192.168.2.3,9
,SSL,54.239.25.200,192.168.2.3,9
,SSL,54.239.28.191,192.168.2.3,9
,SSL,54.240.190.154,192.168.2.3,7
,SSL,54.244.225.107,192.168.2.3,9
,SSL,63.117.14.116,192.168.2.3,524
,SSL,63.117.14.14,192.168.2.3,180
,SSL,63.117.14.179,192.168.2.3,472
,SSL,63.117.14.18,192.168.2.3,75
,SSL,63.117.68.16,192.168.2.3,345
,SSL,69.172.216.111,192.168.2.3,4
,SSL,69.172.216.55,192.168.2.3,8
,SSL,69.172.216.58,192.168.2.3,4
,SSL,70.34.16.45,192.168.2.3,6
,SSL,72.21.214.13,192.168.2.3,3
,SSL,72.21.91.66,192.168.2.3,48
,SSL,74.119.118.67,192.168.2.3,4
,SSL,74.125.162.152,192.168.2.3,5
,SSL,74.125.200.120,192.168.2.3,5
,TCP,104.100.150.188,192.168.2.3,3
,TCP,104.100.160.187,192.168.2.3,11
,TCP,104.16.107.236,192.168.2.3,29
,TCP,104.16.23.190,192.168.2.3,26
,TCP,104.20.40.8,192.168.2.3,105
,TCP,107.22.217.22,192.168.2.3,2
,TCP,128.118.155.211,192.168.2.3,236
,TCP,137.117.40.85,192.168.2.3,6
,TCP,138.108.6.20,192.168.2.3,4
,TCP,138.108.7.20,192.168.2.3,61
,TCP,148.251.188.8,192.168.2.3,440
,TCP,157.166.238.142,192.168.2.3,4
,TCP,157.166.248.229,192.168.2.3,5
,TCP,157.166.249.67,192.168.2.3,8
,TCP,172.217.1.67,192.168.2.3,1
,TCP,172.217.1.78,192.168.2.3,7
,TCP,172.217.2.1,192.168.2.3,10
,TCP,172.217.2.10,192.168.2.3,19
,TCP,172.217.2.13,192.168.2.3,20
,TCP,172.217.2.14,192.168.2.3,45
,TCP,172.217.3.1,192.168.2.3,5
,TCP,172.217.3.10,192.168.2.3,8
,TCP,172.217.3.14,192.168.2.3,6
,TCP,172.217.3.2,192.168.2.3,3
,TCP,172.217.4.202,192.168.2.3,10
,TCP,172.217.4.33,192.168.2.3,14
,TCP,172.217.4.38,192.168.2.3,20
,TCP,172.217.4.46,192.168.2.3,4
,TCP,172.217.4.66,192.168.2.3,41
,TCP,172.217.4.72,192.168.2.3,4
,TCP,172.217.4.78,192.168.2.3,53
,TCP,172.217.5.10,192.168.2.3,1
,TCP,172.217.5.14,192.168.2.3,4
,TCP,172.217.5.2,192.168.2.3,2
,TCP,172.217.5.3,192.168.2.3,13
,TCP,172.229.210.55,192.168.2.3,5
,TCP,172.229.214.12,192.168.2.3,42
,TCP,172.229.222.233,192.168.2.3,29
,TCP,172.229.228.12,192.168.2.3,7
,TCP,172.229.228.216,192.168.2.3,119
,TCP,172.229.233.57,192.168.2.3,9
,TCP,172.229.236.200,192.168.2.3,5
,TCP,173.192.220.64,192.168.2.3,7
,TCP,173.194.133.134,192.168.2.3,8
,TCP,173.194.204.239,192.168.2.3,2
,TCP,173.194.206.95,192.168.2.3,5
,TCP,174.35.73.99,192.168.2.3,51
,TCP,176.32.103.187,192.168.2.3,5
,TCP,176.32.99.133,192.168.2.3,6
,TCP,184.26.44.104,192.168.2.3,14
,TCP,184.26.44.97,192.168.2.3,24
,TCP,192.168.2.3,104.100.150.188,6
,TCP,192.168.2.3,104.100.160.187,13
,TCP,192.168.2.3,104.16.107.236,30
,TCP,192.168.2.3,104.16.23.190,27
,TCP,192.168.2.3,104.20.40.8,106
,TCP,192.168.2.3,107.22.217.22,3
,TCP,192.168.2.3,128.118.155.211,130
,TCP,192.168.2.3,137.117.40.85,10
,TCP,192.168.2.3,138.108.6.20,5
,TCP,192.168.2.3,138.108.7.20,52
,TCP,192.168.2.3,148.251.188.8,301
,TCP,192.168.2.3,157.166.238.142,5
,TCP,192.168.2.3,157.166.248.229,5
,TCP,192.168.2.3,157.166.249.67,9
,TCP,192.168.2.3,172.217.1.67,1
,TCP,192.168.2.3,172.217.1.78,26
,TCP,192.168.2.3,172.217.2.1,19
,TCP,192.168.2.3,172.217.2.10,29
,TCP,192.168.2.3,172.217.2.13,33
,TCP,192.168.2.3,172.217.2.14,160
,TCP,192.168.2.3,172.217.3.1,7
,TCP,192.168.2.3,172.217.3.10,7
,TCP,192.168.2.3,172.217.3.14,5
,TCP,192.168.2.3,172.217.3.2,3
,TCP,192.168.2.3,172.217.4.202,28
,TCP,192.168.2.3,172.217.4.33,31
,TCP,192.168.2.3,172.217.4.38,81
,TCP,192.168.2.3,172.217.4.46,5
,TCP,192.168.2.3,172.217.4.66,40
,TCP,192.168.2.3,172.217.4.72,9
,TCP,192.168.2.3,172.217.4.78,61
,TCP,192.168.2.3,172.217.5.10,1
,TCP,192.168.2.3,172.217.5.14,9
,TCP,192.168.2.3,172.217.5.2,3
,TCP,192.168.2.3,172.217.5.3,24
,TCP,192.168.2.3,172.229.210.55,5
,TCP,192.168.2.3,172.229.214.12,45
,TCP,192.168.2.3,172.229.222.233,22
,TCP,192.168.2.3,172.229.228.12,8
,TCP,192.168.2.3,172.229.228.216,157
,TCP,192.168.2.3,172.229.233.57,12
